词汇,词频,次数
大木,0.011049723756906077,2
妈呀,0.011049723756906077,2
胖妞,0.011049723756906077,2
灰心,0.011049723756906077,2
编剧,0.011049723756906077,2
电波,0.011049723756906077,2
仪式,0.011049723756906077,2
女生,0.0055248618784530384,1
女方,0.0055248618784530384,1
体态,0.0055248618784530384,1
大鱼,0.0055248618784530384,1
身材,0.0055248618784530384,1
语文,0.0055248618784530384,1
照君,0.0055248618784530384,1
脱俗,0.0055248618784530384,1
臭味,0.0055248618784530384,1
草芥,0.0055248618784530384,1
岗位,0.0055248618784530384,1
企业家,0.0055248618784530384,1
才女,0.0055248618784530384,1
心声,0.0055248618784530384,1
夫妻,0.0055248618784530384,1
细水长流,0.0055248618784530384,1
太牛,0.0055248618784530384,1
家乡,0.0055248618784530384,1
读音,0.0055248618784530384,1
师奶,0.0055248618784530384,1
小城,0.0055248618784530384,1
女孩,0.0055248618784530384,1
乒乓球,0.0055248618784530384,1
歌词,0.0055248618784530384,1
策划,0.0055248618784530384,1
冠名,0.0055248618784530384,1
大使,0.0055248618784530384,1
人艺,0.0055248618784530384,1
老舍,0.0055248618784530384,1
太短,0.0055248618784530384,1
正值,0.0055248618784530384,1
太太,0.0055248618784530384,1
榜样,0.0055248618784530384,1
总导演,0.0055248618784530384,1
殿堂,0.0055248618784530384,1
全班,0.0055248618784530384,1
重温,0.0055248618784530384,1
宇宙,0.0055248618784530384,1
五道口,0.0055248618784530384,1
舞台,0.0055248618784530384,1
粉色,0.0055248618784530384,1
国图,0.0055248618784530384,1
天地,0.0055248618784530384,1
人心,0.0055248618784530384,1
面子,0.0055248618784530384,1
台词,0.0055248618784530384,1
人生观,0.0055248618784530384,1
片尾曲,0.0055248618784530384,1
红楼,0.0055248618784530384,1
单调,0.0055248618784530384,1
冷色,0.0055248618784530384,1
耀司,0.0055248618784530384,1
文章,0.0055248618784530384,1
冷漠,0.0055248618784530384,1
老贼,0.0055248618784530384,1
衣品,0.0055248618784530384,1
中气,0.0055248618784530384,1
婚姻,0.0055248618784530384,1
全程,0.0055248618784530384,1
姨母,0.0055248618784530384,1
成问题,0.0055248618784530384,1
女性,0.0055248618784530384,1
亲人,0.0055248618784530384,1
钢琴,0.0055248618784530384,1
心酸,0.0055248618784530384,1
国人,0.0055248618784530384,1
茄鲞,0.0055248618784530384,1
粤语版,0.0055248618784530384,1
海狗,0.0055248618784530384,1
小男孩,0.0055248618784530384,1
艺术家,0.0055248618784530384,1
话题,0.0055248618784530384,1
诗词,0.0055248618784530384,1
同款,0.0055248618784530384,1
眼波,0.0055248618784530384,1
心动,0.0055248618784530384,1
意境,0.0055248618784530384,1
愁思,0.0055248618784530384,1
嘴角,0.0055248618784530384,1
总能,0.0055248618784530384,1
体会,0.0055248618784530384,1
祖国,0.0055248618784530384,1
海棠,0.0055248618784530384,1
我会,0.0055248618784530384,1
超能力,0.0055248618784530384,1
双胞胎,0.0055248618784530384,1
肉眼,0.0055248618784530384,1
诗集,0.0055248618784530384,1
月光,0.0055248618784530384,1
定心丸,0.0055248618784530384,1
运动员,0.0055248618784530384,1
伤病,0.0055248618784530384,1
身板,0.0055248618784530384,1
解说员,0.0055248618784530384,1
中年人,0.0055248618784530384,1
排球,0.0055248618784530384,1
女将,0.0055248618784530384,1
肢体,0.0055248618784530384,1
老板,0.0055248618784530384,1
魔鬼,0.0055248618784530384,1
金主,0.0055248618784530384,1
野百合,0.0055248618784530384,1
骄阳,0.0055248618784530384,1
鼻酸,0.0055248618784530384,1
天使,0.0055248618784530384,1
上帝,0.0055248618784530384,1
情商,0.0055248618784530384,1
凳子,0.0055248618784530384,1
童话,0.0055248618784530384,1
内涵,0.0055248618784530384,1
理性,0.0055248618784530384,1
泪点,0.0055248618784530384,1
天性,0.0055248618784530384,1
死板,0.0055248618784530384,1
陋室,0.0055248618784530384,1
地坛,0.0055248618784530384,1
反省,0.0055248618784530384,1
人人,0.0055248618784530384,1
外公,0.0055248618784530384,1
仙女,0.0055248618784530384,1
包谷,0.0055248618784530384,1
代言,0.0055248618784530384,1
重男轻女,0.0055248618784530384,1
内心,0.0055248618784530384,1
气质,0.0055248618784530384,1
买家,0.0055248618784530384,1
校长,0.0055248618784530384,1
性格,0.0055248618784530384,1
翅膀,0.0055248618784530384,1
秘书,0.0055248618784530384,1
骨灰,0.0055248618784530384,1
嫌贵,0.0055248618784530384,1
吃货,0.0055248618784530384,1
故宫,0.0055248618784530384,1
文创,0.0055248618784530384,1
别理,0.0055248618784530384,1
喷子,0.0055248618784530384,1
单车,0.0055248618784530384,1
姑姑,0.0055248618784530384,1
总算,0.0055248618784530384,1
弹幕,0.0055248618784530384,1
袜子,0.0055248618784530384,1
帅气,0.0055248618784530384,1
质朴,0.0055248618784530384,1
交流,0.0055248618784530384,1
泪水,0.0055248618784530384,1
夜路,0.0055248618784530384,1
挚友,0.0055248618784530384,1
前段时间,0.0055248618784530384,1
我心,0.0055248618784530384,1
勇气,0.0055248618784530384,1
钢琴家,0.0055248618784530384,1
国货,0.0055248618784530384,1
蚂蚁,0.0055248618784530384,1
海贼王,0.0055248618784530384,1
笑声,0.0055248618784530384,1
盲盒,0.0055248618784530384,1
普通话,0.0055248618784530384,1
天意,0.0055248618784530384,1
战士,0.0055248618784530384,1
基因,0.0055248618784530384,1
温润,0.0055248618784530384,1
太空,0.0055248618784530384,1
弟弟,0.0055248618784530384,1
纺织厂,0.0055248618784530384,1
用心,0.0055248618784530384,1
宠物,0.0055248618784530384,1
结尾,0.0055248618784530384,1
好感,0.0055248618784530384,1
制造者,0.0055248618784530384,1
人文主义,0.0055248618784530384,1
巨人,0.0055248618784530384,1
流眼泪,0.0055248618784530384,1
一夫,0.0055248618784530384,1
四肢发达,0.0055248618784530384,1
头脑,0.0055248618784530384,1
底气,0.0055248618784530384,1
心安,0.0055248618784530384,1
瓢昌家,0.0055248618784530384,1
传说,0.0055248618784530384,1
泪人,0.0055248618784530384,1
蝙蝠侠,0.0055248618784530384,1
骑士,0.0055248618784530384,1
老爷,0.0055248618784530384,1
朵花,0.0055248618784530384,1
环境保护,0.0055248618784530384,1
信仰,0.0055248618784530384,1
逆旅,0.0055248618784530384,1
行人,0.0055248618784530384,1
重度,0.0055248618784530384,1
票娘,0.0055248618784530384,1
娃五,0.0055248618784530384,1
黑衣服,0.0055248618784530384,1
圣人,0.0055248618784530384,1
黑色,0.0055248618784530384,1
国籍,0.0055248618784530384,1
小孩子,0.0055248618784530384,1
精装版,0.0055248618784530384,1
不值钱,0.0055248618784530384,1
