Word,Ratio
可爱,0.07986410629924744
喜欢,0.06755636254188892
致敬,-0.016491963524305167
没有,0.03387309833900049
遇见,0.0071625501511296055
好看,0.03600356848832028
朗读,0.02584990119772553
知道,0.02210534909317315
想到,0.024953844731414203
看到,0.02246141104795328
不会,0.024953844731414203
理解,0.026556123527924795
还有,0.017648673079060512
发现,0.019428982852961168
应该,0.018360796988620774
听到,0.020853230672081696
感谢,0.005358634059784966
带来,0.016040492703188917
熬夜,0.01283593511016773
觉得,0.010877594358877009
好听,0.014438213906678325
翻译,0.009809408494536612
还好,0.016218523680578984
可能,0.014438213906678325
可惜,0.013726089997118062
治愈,0.016218523680578984
看着,0.010159568869955747
导播,0.010693661802125946
告诉,0.010515630824735878
避雷,0.010515630824735878
称呼,0.010693661802125946
忍不住,0.010337599847345813
羡慕,0.0033943917291332443
开始,0.008201228118665024
有点像,0.009803506915175616
拥有,0.010515630824735878
出现,0.010159568869955747
改变,0.010159568869955747
想法,0.010337599847345813
相信,0.010159568869955747
学到,0.010515630824735878
好像,0.005708794435204101
穿越,0.010693661802125946
起来,0.007133042254324627
提词,0.010871692779516011
搞笑,0.009803506915175616
表达,0.010693661802125946
希望,0.0041065156386935085
想念,0.010515630824735878
遇到,0.003922583081942446
死亡,0.004812737968892775
加油,0.004990768946282841
恋爱,0.0046347069915027095
打卡,-0.0019524391719297285
看起来,0.004456676014112643
拷问,0.004812737968892775
赞助,0.005168799923672906
相爱,-0.01138808097360322
写给,0.005168799923672906
成为,0.0030324281949921164
出事,0.004990768946282841
认为,0.004278645036722577
属于,0.003922583081942446
等待,0.005168799923672906
播出,0.005168799923672906
拍照,0.005168799923672906
表白,0.004812737968892775
开播,0.004812737968892775
在读,0.005168799923672906
初见,0.005168799923672906
说话,0.004278645036722577
讽刺,0.0035665211271623137
吃饭,0.0032104591723821816
赞助商,0.004812737968892775
降临,0.005168799923672906
不用,0.004100614059332512
看过,0.0046347069915027095
想要,0.004456676014112643
来得,0.005168799923672906
前进,0.004990768946282841
结婚,0.0037445521045523797
感动,0.002320304285431853
相遇,0.004812737968892775
才能,0.004456676014112643
结束,0.004990768946282841
熟悉,0.004278645036722577
适合,0.0046347069915027095
绝望,0.004990768946282841
想起,0.0037445521045523797
看看,0.0035665211271623137
记住,0.0030324281949921164
不行,0.005168799923672906
出来,0.004456676014112643
表示,0.0046347069915027095
不配,0.005168799923672906
推荐,0.0046347069915027095
出生,0.0046347069915027095
嫖娼,0.0037445521045523797
