Word,Ratio
老师,0.22065021634206336
姐姐,0.08555519599636854
读者,0.06809635705342011
孩子,0.07521169456966174
节目,0.06077938224234442
先生,0.015185747292404572
人生,0.0254879376635844
感觉,0.018544729545371834
爸爸,0.02691218548270493
问题,0.020853230672081696
爱情,0.00945924811911748
精神,0.020141106762521434
大师,0.019963075785131366
时候,0.015334270372989654
大家,0.019963075785131366
电视机,0.016040492703188917
情感,0.015328368793628654
声音,0.01283593511016773
感性,0.015862461725798853
地方,0.014794275861458457
灵魂,0.014972306838848523
故事,0.014438213906678325
词作家,0.016040492703188917
经典,0.014794275861458457
八卦,0.016218523680578984
梦想,0.016218523680578984
泪目,0.008563191652806149
父亲,0.01461624488406839
时代,0.014438213906678325
老婆,0.016040492703188917
理想,0.015862461725798853
心态,0.016040492703188917
牌子,0.010693661802125946
显示器,0.010693661802125946
老爷子,0.008557290073445155
眼睛,0.009447444960395485
西装,0.010337599847345813
魅力,0.010693661802125946
世界,-0.06514753456604212
作品,0.010337599847345813
开场,0.010693661802125946
广告,0.009981537892565681
文学,0.010515630824735878
美女,0.009981537892565681
有点,0.006242887367374298
妈妈,0.010159568869955747
感情,0.00962547593778555
女神,0.007133042254324627
文字,0.00962547593778555
表情,0.010159568869955747
学生,0.009447444960395485
卧槽,0.010693661802125946
年龄,0.010337599847345813
现场,0.010159568869955747
陪伴,0.010693661802125946
大学,0.009981537892565681
国家,0.009269413983005419
人间,0.009447444960395485
男人,0.010337599847345813
妈呀,0.009803506915175616
女生,0.004990768946282841
语文,0.004812737968892775
臭味,0.004990768946282841
企业家,0.004812737968892775
才女,0.005168799923672906
夫妻,0.004990768946282841
太牛,0.0046347069915027095
家乡,0.004812737968892775
读音,0.004812737968892775
女孩,0.004990768946282841
歌词,0.004812737968892775
策划,0.005168799923672906
冠名,0.005168799923672906
人艺,0.005168799923672906
老舍,-0.002664563081489992
太短,-0.011032019018823086
正值,0.004990768946282841
榜样,0.005168799923672906
总导演,0.005168799923672906
重温,0.0035665211271623137
五道口,0.004990768946282841
粉色,0.004812737968892775
台词,0.004278645036722577
钢琴,0.005168799923672906
心酸,0.005168799923672906
同款,0.005168799923672906
体会,0.004990768946282841
天使,0.0033884901497722476
外公,0.005168799923672906
气质,0.001608180375871589
弹幕,0.0030324281949921164
钢琴家,0.004812737968892775
