,Comment,feeling,TimeStamp,UID,Url
56,哎，人家就是普通人，他又不是只有企业家一个身份，为何不能多角度看一个人呢,0.9654105794760838,2144.936,f608daea,https://comment.bilibili.com/373390209.xml
57,其实柳还是有贡献的，只是企业规划不符合当下发展了。他是传奇也算是一个备受争议的人吧,0.9999248765973944,1863.368,f608daea,https://comment.bilibili.com/373390209.xml
58,姐姐好优秀,0.9696784218234498,1032.47,f608daea,https://comment.bilibili.com/373390209.xml
59,他好像演过    大魏王在《大秦帝国》,0.9855709957034512,595.801,e251a4dc,https://comment.bilibili.com/373390209.xml
60,名场面：我于是，就变成了学生。,0.7549049838107804,942.18,ca9f69f8,https://comment.bilibili.com/373390209.xml
61,致敬无国界医生,0.9428801039497808,1361.746,e778fefc,https://comment.bilibili.com/373390209.xml
62,两个漂亮姐姐,0.9180635711395978,1312.099,58fcd0b0,https://comment.bilibili.com/373390209.xml
63,《熬夜工作使人长寿》,0.8478751735793079,4103.972,148b73ac,https://comment.bilibili.com/373390209.xml
64,老师布置的作业,0.9899601841966746,629.01,b8e2136e,https://comment.bilibili.com/373390209.xml
65,蒋励好像是最高的，这是多高了,0.382290853766648,1338.512,b8775c3a,https://comment.bilibili.com/373390209.xml
66,重新开始 沉淀下来,0.44444444444444464,657.898,713652c5,https://comment.bilibili.com/373390209.xml
67,哈哈哈哈哈 原来这就是缘分呀,0.9881217792352543,2791.503,78647bbe,https://comment.bilibili.com/373390209.xml
68,兴许是他的爱冻住了她的年龄,0.9403257116899252,2696.89,78647bbe,https://comment.bilibili.com/373390209.xml
69,原来这就是爱情 这 就是爱,0.9507634323922634,2633.636,78647bbe,https://comment.bilibili.com/373390209.xml
70,如果说见生死是一种极端的体验，那么遇见成功或者遇见失败，则是我们每一个人都必经的成长的过程 ,0.9998744112970998,1527.528,8ad01b6d,https://comment.bilibili.com/373390209.xml
71,遇见董卿老师让人生有了光,0.923142041208334,6.419,925aaa32,https://comment.bilibili.com/373390209.xml
72,已经要去听这首歌，鲍勃的歌声也很让人感动,0.9947888382146028,1476.971,ddf21dce,https://comment.bilibili.com/373390209.xml
73,愿世界和平 都温柔以待,0.9939993748558386,1483.908,2c47d81c,https://comment.bilibili.com/373390209.xml
74,追忆似水流年,0.9902264955739836,3525.907,b180da91,https://comment.bilibili.com/373390209.xml
75,是是是是是是，许先生好可爱,0.9258271863567349,4064.548,524bb5ed,https://comment.bilibili.com/373390209.xml
76,致敬许老先生,0.9286893541085044,3544.612,9ba69c7f,https://comment.bilibili.com/373390209.xml
77,世界和平,0.975063992782302,1455.634,9e65a42,https://comment.bilibili.com/373390209.xml
78,哈哈哈哈爷爷突然精神了,0.9904582974654396,4013.052,202651a0,https://comment.bilibili.com/373390209.xml
79,啊啊啊啊啊啊《小王子》！,0.9979857010932512,146.36,7d3d3ddd,https://comment.bilibili.com/373390209.xml
80,她是上天派来的天使，所有的都是,0.9954294631062821,1122.297,a0a1d974,https://comment.bilibili.com/373390209.xml
81,“正直”,0.818181818181818,1677.002,edcb3405,https://comment.bilibili.com/373390209.xml
82,柳传志只是自己的成功，不是联想的成功,0.6679138913698558,1594.839,edcb3405,https://comment.bilibili.com/373390209.xml
83,只有铁和血才能换来和平,0.673442584760859,1517.714,da70295f,https://comment.bilibili.com/373390209.xml
84,《给儿媳妇的信》,0.484166578413286,1979.076,f4a4aaf8,https://comment.bilibili.com/373390209.xml
85,老父亲登台就怕儿媳妇跑咯哈哈,0.2796472711757002,1953.237,f4a4aaf8,https://comment.bilibili.com/373390209.xml
86,我于是，就变成了学生,0.7037037037037036,959.983,ffb0ea6b,https://comment.bilibili.com/373390209.xml
87,这是天使降临人间了吗,0.989117035824558,1350.039,4af8c0f0,https://comment.bilibili.com/373390209.xml
88,因为语文作业和朗读者遇见,0.9997734074281126,307.916,c5811def,https://comment.bilibili.com/373390209.xml
89,哇 这个朗读的功力真的好棒,0.9844267648317953,897.428,64628cfb,https://comment.bilibili.com/373390209.xml
90,一说翻译就精神了哈哈哈哈,0.9538292528737558,4010.075,2cffecc3,https://comment.bilibili.com/373390209.xml
91,好温柔好稳重好端庄,0.9948097408885452,3203.62,aecf6910,https://comment.bilibili.com/373390209.xml
92,《莫名其妙》,0.34090909090909083,1596.4,aecf6910,https://comment.bilibili.com/373390209.xml
93,这时候家里就有电话了,0.09513413627441614,1653.948,7e779cfa,https://comment.bilibili.com/373390209.xml
94,人遇见人 就有了灵魂。,0.9719825137394998,2871.003,e5c5be7,https://comment.bilibili.com/373390209.xml
95,仍然持有一颗赤忱的心去与美好遇见,0.9101829518441624,3987.15,aa4889f,https://comment.bilibili.com/373390209.xml
96,很是精辟的一句总结。,0.9060330456438764,645.147,c6c4ef2e,https://comment.bilibili.com/373390209.xml
97,先生笑的好开心啊！希望先生可以一直笑的这么开心,0.9850653649681856,4439.813,97140d07,https://comment.bilibili.com/373390209.xml
98,老先生笑的好可爱啊,0.942901259972938,734.512,e83fcff4,https://comment.bilibili.com/373390209.xml
99,演话剧台词功底深厚,0.9995100213947888,940.951,958e4384,https://comment.bilibili.com/373390209.xml
100,啊啊啊，这个太有感触了。真的希望现在称为演员的人卷起来！,0.9920430788140436,4312.501,2d8e2f55,https://comment.bilibili.com/373390209.xml
101,这个节目很好啊,0.6499603062473048,1793.899,984add76,https://comment.bilibili.com/373390209.xml
102,羡慕的感情,0.9955730581178754,1195.56,eef71517,https://comment.bilibili.com/373390209.xml
103,很用心，设计得很好，就连这首歌都很好听,0.9945388697655762,4503.006,f74f6b57,https://comment.bilibili.com/373390209.xml
