Name,Frequency,UID,follower,ratio
老邪说电影,1,154021609,2168684,0.00461109133465272
西西相,3,180904367,933865,0.032124557618071134
哔哩哔哩纪录片,15,7584632,7511985,0.019968090990597025
山竹Excel表格教学,1,670562659,339739,0.02943435990569231
小王Albert,3,1140672573,2118831,0.014158750745104257
司马南,1,612492134,1991213,0.005022064440117657
浑元Rysn,1,42561463,3006235,0.0033264199239247763
毕导THU,3,254463269,4962480,0.0060453644145669104
取景框看世界,6,40427625,2652056,0.022623956658532098
经济研究室-祈祷,1,292539548,285931,0.03497347262101696
安森垚,1,11498155,1284930,0.007782525118099818
珍大户,1,355327690,1204113,0.008304868396902948
旁门左道PPT,3,395619513,1905017,0.015747890963702688
跑步的子章老师,1,451645162,1071948,0.00932881072589342
进击的铁木君,1,481153145,876291,0.011411734229839175
锅の缸,1,1182716845,442476,0.022600095824406294
o小庄o,1,6272357,1270508,0.007870867401071067
安州牧,1,7481602,1147815,0.008712205364104842
拜仁慕尼黑足球俱乐部,1,473904412,207328,0.04823275196789628
知心者联盟,1,390371228,1590038,0.006289157869183001
无穷小亮的科普日常,1,14804670,8043711,0.0012432072708728596
中国国家地理频道,3,364654971,1222069,0.024548532038698306
账号已注销,6,1462924694,1246,48.154093097913325
老番茄,1,546195,17952126,0.0005570370885320213
沈奕斐,10,349092963,1305941,0.07657313768386168
武志红讲心理,3,508670955,1022414,0.029342321212346468
杨宁老师,3,70351856,724910,0.041384447724545116
vivi可爱多,1,16206007,2257249,0.004430171416622624
大连老湿王博文,1,56065480,1062027,0.009415956468150057
公考陈老司,1,76075104,185118,0.05401959831026697
雯方WenFang,1,30456794,286557,0.03489707108882351
被生活治愈的小人物,3,1866448992,422774,0.07095989819619938
快乐源泉bot,1,3107068,785047,0.01273809084042102
普通话一甲小鱼老师,1,489506066,4126,2.423654871546292
学法联盟,1,650966649,854072,0.01170861473037402
央视网快看,3,451320374,1486908,0.020176096974392498
长得像美食博主的女人,1,472129071,1842622,0.005427049063779766
知了解压萌物,1,1335713025,2899999,0.0034482770511300178
侃哥侃英语,3,1607984338,1011853,0.029648575435364623
一起来玩简笔画,1,523745087,289044,0.034596808790357175
克里米亚野生动物园,3,590490400,1760828,0.01703743920473777
徐大虾咯,1,13354765,7693480,0.0012998019101888873
央视纪录,3,72209046,1120468,0.026774526358628717
明日方舟,1,161775300,5037125,0.0019852594485941883
小潮院长,1,5970160,8846722,0.0011303621838687822
手工耿,1,280793434,6932232,0.0014425368337355126
哔哩哔哩放映员,1,207539637,600595,0.016650155262697825
抵抗Resistance,1,475912512,511647,0.019544725171846997
天才小熊猫本人,1,11688464,2337523,0.004278032772297855
小蓝和他的朋友日常号,1,431313625,1377862,0.007257620864789072
内幕纠察局,1,1218286288,993384,0.010066600629766536
Zhan丨,1,173469252,1149481,0.008699578331438276
山城小栗旬的理发日记,1,1869712375,3350318,0.002984791294438319
绵羊料理,3,18202105,10164376,0.0029514846754980337
盗月社食遇记,1,99157282,7173721,0.0013939767102735107
