Comment,feeling,TimeStamp,UID,Url
"为康辉而来",0.4737672181921908,52.15900,ed3d3510,https://comment.bilibili.com/450769285.xml
"因为国家顾不过来 各种项目都要钱",0.8284064563324629,3304.48400,30867359,https://comment.bilibili.com/450769285.xml
"好艰苦啊TT",0.9652842091787784,3173.15900,8cfd8835,https://comment.bilibili.com/450769285.xml
"爷爷好可爱！！！",0.8966314744761993,2608.73200,e4018b19,https://comment.bilibili.com/450769285.xml
"大象们受到过多少伤害啊",0.8511805342238624,1188.37300,e4018b19,https://comment.bilibili.com/450769285.xml
"第四名也很棒了，这可是奥运会，在挑战刷新人类的极限！！！",0.76650536010706,401.64500,e4018b19,https://comment.bilibili.com/450769285.xml
"什么黑猫，那是虎斑猫！",0.5270731454690017,2167.93100,8cfd8835,https://comment.bilibili.com/450769285.xml
"“噢。”哈哈哈哈哈笑死了",0.9949087601864764,2056.12300,8cfd8835,https://comment.bilibili.com/450769285.xml
"董卿：我的场我slay全场",0.421874597530976,1519.18500,8cfd8835,https://comment.bilibili.com/450769285.xml
"师妹这个梗哈哈哈哈哈哈",0.8737073591833697,1287.88900,8cfd8835,https://comment.bilibili.com/450769285.xml
"这个妈妈好好",0.8767449685465378,910.37400,8cfd8835,https://comment.bilibili.com/450769285.xml
"开幕式更阴间了",0.6917014032790809,796.39000,8cfd8835,https://comment.bilibili.com/450769285.xml
"人又何不是动物，怎么不了解",0.9189895850068828,2972.71700,489ea107,https://comment.bilibili.com/450769285.xml
"小松鼠",0.8761057615414383,1230.69600,b8053c03,https://comment.bilibili.com/450769285.xml
"女儿也非常有气质",0.8531156566160465,3458.62900,246f9a28,https://comment.bilibili.com/450769285.xml
"什么叫顾得过来吗？贪污的时候怎么一个个都顾得过来",0.08782729460974859,3304.68800,246f9a28,https://comment.bilibili.com/450769285.xml
"李云迪在狱里",0.684225224142884,148.02900,b8053c03,https://comment.bilibili.com/450769285.xml
"那个时候，至少你没有去放弃，还是觉得说，我再努力去做一做，也许我就可以让你更认可我一点",0.904563885321139,1557.34300,489ea107,https://comment.bilibili.com/450769285.xml
"出去吃完饭了吗？",0.5984161111546624,3654.24100,3c755baa,https://comment.bilibili.com/450769285.xml
"噶活着了吗 安康学院的？",0.9133224613253621,3627.36100,3c755baa,https://comment.bilibili.com/450769285.xml
"我感谢在每个苦难时刻勇敢活下来的自己",0.9941492359029788,3819.06100,5c6c8acb,https://comment.bilibili.com/450769285.xml
"冠亚都是中国的！",0.7340971008277499,212.60700,30e5d073,https://comment.bilibili.com/450769285.xml
"沈阳化工大学杨雷路过",0.6851060269795577,3622.20300,948e20cf,https://comment.bilibili.com/450769285.xml
"生完孩子还能有腹肌更不容易 一般女生生完孩子之后腹直肌都分离了 需要很长时间修复",0.999990652543218,865.46800,2c485862,https://comment.bilibili.com/450769285.xml
"真的好不容易，为康康点赞",0.6540479985656249,1638.21500,850d7417,https://comment.bilibili.com/450769285.xml
"此处应该有哽咽",0.6694951640820711,1604.29500,850d7417,https://comment.bilibili.com/450769285.xml
"老师提问的时候，遇到坏人的时候",0.9463658080305025,2.79900,181b7bf2,https://comment.bilibili.com/450769285.xml
"不勇敢的人一定不快乐",0.961145920440775,3815.47800,2133a0c6,https://comment.bilibili.com/450769285.xml
"高考选择了复读 这次 我够勇敢",0.9829117812443986,86.62600,8cc7e1c8,https://comment.bilibili.com/450769285.xml
"果然理科大佬的文学造诣都很高",0.980476173640035,3718.43800,3d355c88,https://comment.bilibili.com/450769285.xml
"希望下一期可以对比现在的科研，在更发达的条件下",0.9449936193992632,3758.48200,9bebf703,https://comment.bilibili.com/450769285.xml
"董卿读的太棒了 声音有厚度",0.8509412772958206,1843.34700,32c0a11f,https://comment.bilibili.com/450769285.xml
"请撒撒过来，想看撒卿",0.46557836349233184,1967.66100,bc3935f0,https://comment.bilibili.com/450769285.xml
"董老师太美了",0.9436811282372851,983.79900,bc3935f0,https://comment.bilibili.com/450769285.xml
"衣服都是大熊猫",0.5544465665204075,2599.35500,9ad83654,https://comment.bilibili.com/450769285.xml
"好漂亮啊",0.9389688394024527,233.79000,73cf5de,https://comment.bilibili.com/450769285.xml
"高情商",0.8689213849967401,1495.81000,6029e320,https://comment.bilibili.com/450769285.xml
"鲁豫：真的么？我不信！",0.23209094145511366,2673.29700,7e8742d9,https://comment.bilibili.com/450769285.xml
"这个世界上存在着美值得我们去为之奋斗",0.9993170299803343,1986.69700,e82245b5,https://comment.bilibili.com/450769285.xml
"我想到我爸爸 我真的很害怕家人流血 觉得我们自己流血没什么 但是害怕家人受伤",0.9936269430403093,2410.85500,a53b909,https://comment.bilibili.com/450769285.xml
"“但请你不要告诉妈妈。”",0.8970559275759916,3372.97800,3cc83df2,https://comment.bilibili.com/450769285.xml
"动物都是有灵性的",0.9636986619627179,2963.89000,3cc83df2,https://comment.bilibili.com/450769285.xml
"救命，怎么都是爱情",0.9663615166488171,2180.06100,3cc83df2,https://comment.bilibili.com/450769285.xml
"成为他自己想成为的样子",0.6624711115961687,899.17100,7d7529d3,https://comment.bilibili.com/450769285.xml
"是软肋也是盔甲",0.12671122177279381,741.09400,98f2061c,https://comment.bilibili.com/450769285.xml
"人生最重要的不是凯旋，而是战斗",0.7661383793046835,830.19000,45c33527,https://comment.bilibili.com/450769285.xml
"失败，指奥运第四（重新定义失败）doge",0.10562791001689464,460.50100,bdeae58f,https://comment.bilibili.com/450769285.xml
"别说六十万 现在也没那么多 九六我都吃不起方便面",0.08908629453255457,3333.14000,d6f8f939,https://comment.bilibili.com/450769285.xml
"那些曾经你认为过不去的日子，也回不去了",0.7617807971596117,3824.08500,9b2fa51,https://comment.bilibili.com/450769285.xml
