Comment,feeling,TimeStamp,UID,Url
"（初）恋乐园",0.8745574044453891,1637.30800,a20aa1aa,https://comment.bilibili.com/373235857.xml
"生活的主旋律还是痛苦",0.970057990660801,1188.59100,f13cb6b3,https://comment.bilibili.com/373235857.xml
"这个音乐一出，就好想流泪啊",0.8780922358971714,1858.98400,c314860c,https://comment.bilibili.com/373235857.xml
"写得非常好，父亲影响力",0.9954243410248494,2679.03600,1bc740b2,https://comment.bilibili.com/373235857.xml
"经历痛、理解痛，直面痛",0.991232706872911,4894.26600,8b527b39,https://comment.bilibili.com/373235857.xml
"苦行僧修行",0.5477590281447277,3176.34600,8b527b39,https://comment.bilibili.com/373235857.xml
"双减下看到东方甄选，觉得俞敏洪更加的发光",0.9896097014698376,2554.76400,64b8914f,https://comment.bilibili.com/373235857.xml
"那是一个有光的年代",0.7976874501083875,4406.26300,d3557f87,https://comment.bilibili.com/373235857.xml
"文字很诚恳",0.8221499090050443,2877.94800,86498ab3,https://comment.bilibili.com/373235857.xml
"因为我是一个奇迹",0.8106835436328976,3571.08600,37ddae7c,https://comment.bilibili.com/373235857.xml
"跨进名校从来就不是幸福的开始",0.7468902972769178,2342.04000,37ddae7c,https://comment.bilibili.com/373235857.xml
"人生是一场悲剧 而我们要快乐地演完",0.9989736831940422,2088.50200,37ddae7c,https://comment.bilibili.com/373235857.xml
"哈哈哈，姐姐的眼神",0.9829731241182056,637.26900,539ca21b,https://comment.bilibili.com/373235857.xml
"十几年的积蓄，买一本词典",0.8614347154033879,4387.36500,2725f035,https://comment.bilibili.com/373235857.xml
"他们这样的泰斗，都是如此豁达的心态，令人羡慕，同时心向往之",0.999530670283042,4287.48500,707a5b8b,https://comment.bilibili.com/373235857.xml
"看上过几个哈哈哈哈",0.9439323740899114,2540.27100,88557a5d,https://comment.bilibili.com/373235857.xml
"谢谢董老师的这段朗读陪我度过了考研备考的灰暗时刻",0.998013847909739,53.35900,802237b,https://comment.bilibili.com/373235857.xml
"过往的朋友，是指伤痛。",0.9376056049543435,1015.39900,2dafb1b6,https://comment.bilibili.com/373235857.xml
"我觉得我对不起我所受的苦难",0.709885243326343,73.19000,baef66f0,https://comment.bilibili.com/373235857.xml
"哈哈哈又心酸又好笑",0.8794433566334721,876.64600,cebab902,https://comment.bilibili.com/373235857.xml
"好勇敢，去直面这份痛苦",0.9829659098691587,1460.75900,bba75a24,https://comment.bilibili.com/373235857.xml
"父母的关心是最大的放护盾",0.9583266777331059,1522.78600,a9c580c7,https://comment.bilibili.com/373235857.xml
"其实姐姐不用说这么多，但她选择以自己为诫",0.7437996715936487,1494.10600,a9c580c7,https://comment.bilibili.com/373235857.xml
"好喜欢王老的朗读！！！",0.6797327152295841,4751.37900,86c7a3cb,https://comment.bilibili.com/373235857.xml
"太可爱了！笑的像个孩子般的甜！",0.971684649400999,4262.77300,66cd2dee,https://comment.bilibili.com/373235857.xml
"钻满蚊子",0.13923600859738883,702.95300,3961b85a,https://comment.bilibili.com/373235857.xml
"文人的幽默和乐观，哈哈哈",0.9951172269617425,4047.78200,7e0a1856,https://comment.bilibili.com/373235857.xml
"那个是宴席的规格是婚礼那样隆重，他说了当时没女朋友。",0.6490286653623716,2526.80000,7e0a1856,https://comment.bilibili.com/373235857.xml
"作文素材",0.9650003061155241,13.05900,b114cfa7,https://comment.bilibili.com/373235857.xml
"好美的舞蹈和配乐",0.7085923308003611,3896.10700,caa55db7,https://comment.bilibili.com/373235857.xml
"优雅极了",0.9583333333333334,3682.94800,40fe5ae2,https://comment.bilibili.com/373235857.xml
"不，没有不行，这是一种螺旋式上升",0.6992932441231536,2030.41800,5b85263b,https://comment.bilibili.com/373235857.xml
"双减后看越发感觉到他的豁达",0.9096528918659338,2550.09700,4d153ddf,https://comment.bilibili.com/373235857.xml
"献给我的妻子：吴美娟老师 好美好 好浪漫",0.9999398070695872,4643.45100,8bb6ad4e,https://comment.bilibili.com/373235857.xml
"王智量前辈，心态好棒",0.9989073185932166,4423.92300,22fa21ec,https://comment.bilibili.com/373235857.xml
"老爷子这心态我慕了",0.899152224647853,4171.35200,a082d180,https://comment.bilibili.com/373235857.xml
"元元，好漂亮！",0.8094094632465384,3596.06300,fc63de8a,https://comment.bilibili.com/373235857.xml
"读的声情并茂，完全投入进去了",0.4784107767453809,4864.55600,b8e1fd3e,https://comment.bilibili.com/373235857.xml
"哇好幸福啊",0.949440197592824,4652.96700,a20aa1aa,https://comment.bilibili.com/373235857.xml
"哇，卿卿太有才了",0.7948520007078761,70.83900,33b1291c,https://comment.bilibili.com/373235857.xml
"朗读的好好，激动的想哭",0.7513948835300976,4777.28600,bed30788,https://comment.bilibili.com/373235857.xml
"真的很勇敢，也很坚强",0.9983444471584351,1456.67700,f4f4d6fd,https://comment.bilibili.com/373235857.xml
"忠粉有人啊",0.5282352329672174,2650.51100,1b677c7a,https://comment.bilibili.com/373235857.xml
"呜呜姐姐好善良，自己淋过雨，所以想为别人打伞",0.986929066873647,1597.33500,80ebee16,https://comment.bilibili.com/373235857.xml
"意犹未尽",0.9285714285714286,3904.68300,c314860c,https://comment.bilibili.com/373235857.xml
"太可爱了吧",0.6663463298769546,4624.68200,22bc35c3,https://comment.bilibili.com/373235857.xml
"继娣，名字就是苦的",0.4951634369495507,253.14500,a0a47cc2,https://comment.bilibili.com/373235857.xml
"哈喽",0.5384615384615385,2642.85400,9512bd1b,https://comment.bilibili.com/373235857.xml
"哎哟老爷子真的心态好",0.9453142601026103,4200.63700,518fa907,https://comment.bilibili.com/373235857.xml
"谁知道配乐名字",0.4995622266741565,23.35100,227ccd57,https://comment.bilibili.com/373235857.xml
"能追求梦想真好",0.9783652880193047,4108.75700,b714ff8e,https://comment.bilibili.com/373235857.xml
"哈哈哈，我看过",0.8943315098580563,2383.36100,b714ff8e,https://comment.bilibili.com/373235857.xml
"先生读的好有感觉 我们也要不畏一切的坚持呀",0.9470134786163479,4849.58000,c905013,https://comment.bilibili.com/373235857.xml
