Comment,feeling,TimeStamp,UID,Url
"马上就22年卡塔尔世界杯啦",0.4305213382811188,2540.67700,11838f28,https://comment.bilibili.com/373234059.xml
"谢谢您！谢谢生命!!!",0.8096169737697393,4939.69000,660aafb6,https://comment.bilibili.com/373234059.xml
"这么小就吃过肯德基了，果然是上海人",0.595221779284351,633.28600,6b2108f9,https://comment.bilibili.com/373234059.xml
"祖籍广东梅州",0.9108432394878659,1587.61100,a2aae8c4,https://comment.bilibili.com/373234059.xml
"突然感觉真的号对不起自己的职业",0.3234027690158984,4819.84300,d796a08b,https://comment.bilibili.com/373234059.xml
"成为不了像吴老这样的医生真的有愧",0.36604211697341493,4328.62100,d796a08b,https://comment.bilibili.com/373234059.xml
"老爷子真的值得所有人尊敬",0.7569007528364282,4159.86300,d796a08b,https://comment.bilibili.com/373234059.xml
"2021我们失去了好多",0.5425375416411624,3933.45200,d796a08b,https://comment.bilibili.com/373234059.xml
"吴孟超老爷子",0.8425087992361369,3892.69700,d796a08b,https://comment.bilibili.com/373234059.xml
"还在为工资而低头挣扎在这个厌恶的职场",0.9598398802323079,2016.11100,d796a08b,https://comment.bilibili.com/373234059.xml
"真的民族情怀，职业情怀",0.9965597495565152,1924.35700,d796a08b,https://comment.bilibili.com/373234059.xml
"人活着自己和家人健康真的是最重要的",0.9590100571139641,4274.92700,c98995cb,https://comment.bilibili.com/373234059.xml
"眼泪来了",0.85,4297.55500,89e9c455,https://comment.bilibili.com/373234059.xml
"吴孟超爷爷",0.9680655851089434,3938.75900,89e9c455,https://comment.bilibili.com/373234059.xml
"暗恋桃花源",0.9420210327476701,2992.01900,89e9c455,https://comment.bilibili.com/373234059.xml
"学数学的出来冒个泡儿",0.9765027019513037,1410.17900,89e9c455,https://comment.bilibili.com/373234059.xml
"前方名场面，致敬吴老！",0.9919130992843985,4279.93000,136b2f95,https://comment.bilibili.com/373234059.xml
"吴老先生已经去世了致敬",0.9964880080978088,3969.87000,94275864,https://comment.bilibili.com/373234059.xml
"真的怀念郑队在国家队的日子",0.8299931226769209,2738.14100,3743e5c8,https://comment.bilibili.com/373234059.xml
"永远的队长",0.3971963607958956,2148.01400,3743e5c8,https://comment.bilibili.com/373234059.xml
"好可爱",0.8789676580241895,219.01000,ce6a73b6,https://comment.bilibili.com/373234059.xml
"当时看到这里直接哭了",0.7049180327868854,4289.25600,58a364ed,https://comment.bilibili.com/373234059.xml
"梦回微分几何课程，泪目了www",0.9891807405517898,1589.11900,31735525,https://comment.bilibili.com/373234059.xml
"医者仁心，国士无双",0.6478578960711389,4846.57000,a39dabb6,https://comment.bilibili.com/373234059.xml
"国家的功臣啊！泪目",0.9525336008236222,4584.22300,4c190915,https://comment.bilibili.com/373234059.xml
"我们仨第一次读不懂，工作后再读很庆幸自己跟父母一起住",0.9940026864024222,958.45400,a47347b5,https://comment.bilibili.com/373234059.xml
"我恨，数学令我头秃",0.9894816074005208,1402.45500,98b8c742,https://comment.bilibili.com/373234059.xml
"这位更是重量级，致敬吴孟超院士",0.9923165887650732,3977.66300,d1c7c625,https://comment.bilibili.com/373234059.xml
"李兴国cpdd有意者d我",0.323060140738038,3742.94500,d1c7c625,https://comment.bilibili.com/373234059.xml
"肝胆之父？",0.8630530555797126,3912.13300,b0a3363c,https://comment.bilibili.com/373234059.xml
"高三3班全体起立！",0.6762495473195183,0.07400,cf6bca56,https://comment.bilibili.com/373234059.xml
"还好没有请李某迪，不然董卿姐姐的这段话就要被剪了",0.8151513951562174,428.55900,7c2450d7,https://comment.bilibili.com/373234059.xml
"每一期的穿搭都很有气质",0.8159920882526991,395.34300,22fa21ec,https://comment.bilibili.com/373234059.xml
"卿卿一颗泪，胜过满天星",0.9945265691016981,4344.25100,dfc64b4b,https://comment.bilibili.com/373234059.xml
"卿卿一颗泪，胜过满天星",0.9945265691016981,4339.21100,dfc64b4b,https://comment.bilibili.com/373234059.xml
"卿卿一颗泪，胜过满天星",0.9945265691016981,4332.99400,dfc64b4b,https://comment.bilibili.com/373234059.xml
"这是真正的为事业贡献终生！",0.9993712070931512,4433.19100,e3b97e2,https://comment.bilibili.com/373234059.xml
"哈哈哈哈满足别人的虚荣心",0.8566129217157266,3332.15700,61c77bd0,https://comment.bilibili.com/373234059.xml
