Comment,feeling,TimeStamp,UID,Url
"余华活着里面的场景",0.7105643680031821,493.13100,67bee9ed,https://comment.bilibili.com/373230661.xml
"bgm是什么",0.5,10.74500,311cd307,https://comment.bilibili.com/373230661.xml
"太美了吧",0.7401846550314694,326.36100,c98995cb,https://comment.bilibili.com/373230661.xml
"致敬魏老",0.983973038207095,4855.30300,c490aac1,https://comment.bilibili.com/373230661.xml
"优秀的人很多，卓越的人很少",0.8004665349621868,1997.31000,b714ff8e,https://comment.bilibili.com/373230661.xml
"怎样才能生出这样落落大方气质超群的女儿",0.9894346693905828,3919.47400,a43fb336,https://comment.bilibili.com/373230661.xml
"我只愿我从没有出生",0.6654965948940568,101.45500,6ce6072,https://comment.bilibili.com/373230661.xml
"怕让他失望，怕来不及",0.054450106334326676,1881.84600,4a3a6ff,https://comment.bilibili.com/373230661.xml
"最真实的眼泪最能打动人心",0.9877760942597453,1918.24700,37ddae7c,https://comment.bilibili.com/373230661.xml
"这孩子比我都爱哭！啊哈哈哈哈哈哈哈哈哈哈！",0.9997743653079972,1875.15400,a352228e,https://comment.bilibili.com/373230661.xml
"甲鱼",0.5,1342.28000,4f608807,https://comment.bilibili.com/373230661.xml
"上半生为国家下半生为家庭 泪目了",0.9301913367813555,4410.43000,31777f74,https://comment.bilibili.com/373230661.xml
"姐姐好美啊",0.9663949585682274,1207.73900,f42df2c5,https://comment.bilibili.com/373230661.xml
"也好适合做播音员。。",0.6298092230089543,3903.95100,a6ed2972,https://comment.bilibili.com/373230661.xml
"父亲的情书好浪漫",0.993530528797577,2303.25300,a6ed2972,https://comment.bilibili.com/373230661.xml
"泪目 背出来了",0.7573429908778977,1128.50600,2876843b,https://comment.bilibili.com/373230661.xml
"致敬魏老",0.983973038207095,0.00000,39a6a743,https://comment.bilibili.com/373230661.xml
"“我没有~”",0.5,3273.94100,baed2b04,https://comment.bilibili.com/373230661.xml
"傅园慧！",0.7297953905324696,1263.48400,82745d7,https://comment.bilibili.com/373230661.xml
"那个嘿嘿嘿好憨",0.7365124242448937,3185.94600,7619626b,https://comment.bilibili.com/373230661.xml
"爱了爱了",0.8883660397489329,320.71500,6da17bc5,https://comment.bilibili.com/373230661.xml
"看到他们，我才知道热爱是真正存在的",0.7363724794652684,2056.89500,69713f0a,https://comment.bilibili.com/373230661.xml
"眼泪止不住的流",0.7513053380222816,4821.26000,b0a3363c,https://comment.bilibili.com/373230661.xml
"这么帅",0.9333333333333333,3187.64500,61c77bd0,https://comment.bilibili.com/373230661.xml
"泪目了，国士无双",0.7235618950085069,4449.18000,e6e1f56c,https://comment.bilibili.com/373230661.xml
"他抚摸戒指的手在抖，呜呜呜",0.12735830716977603,3531.64200,e6e1f56c,https://comment.bilibili.com/373230661.xml
"致敬父爱！",0.9916022497694802,4892.51100,45a988dc,https://comment.bilibili.com/373230661.xml
"张彻就是上帝派来搭救她的天使",0.9238775970220178,833.03000,6d211934,https://comment.bilibili.com/373230661.xml
"这才是真正的顶天立地的男人啊",0.46748027510043233,4840.95300,c9d38cd8,https://comment.bilibili.com/373230661.xml
"泪目了已经",0.7500624229391235,37.25800,7127e11,https://comment.bilibili.com/373230661.xml
"歌曲  厚重，沧桑",0.8261304629883831,4923.06800,e3b97e2,https://comment.bilibili.com/373230661.xml
"2021 中国游泳梦之队",0.8485316049372921,1689.95600,8aaf1790,https://comment.bilibili.com/373230661.xml
"原来爸爸也是我们熟悉的人啊",0.9719779201365396,2241.61600,8043646d,https://comment.bilibili.com/373230661.xml
"2022年希望他们都好",0.7070196312750683,4461.73400,59ba105,https://comment.bilibili.com/373230661.xml
"这个和父母的职业有关系",0.9392206388883289,4343.38900,d5c733f4,https://comment.bilibili.com/373230661.xml
"老天你怎么忍心",0.40306518103660427,4058.09100,8c918c6e,https://comment.bilibili.com/373230661.xml
"好漂亮的妹妹",0.9746228540307674,3859.93600,111adf39,https://comment.bilibili.com/373230661.xml
"怕来不及，真的没来的及",0.5276513755777161,1885.44500,fd447f1b,https://comment.bilibili.com/373230661.xml
"像老一辈演员致敬，明明可以读，生生准备到背下来了，只有背才能入职戏",0.9883349304408767,1042.56800,fd447f1b,https://comment.bilibili.com/373230661.xml
"致敬·",0.9264932665174829,1730.33000,4a5f7d76,https://comment.bilibili.com/373230661.xml
"这一身也太美啦！美啦",0.9766496213768384,349.07600,6a448dd9,https://comment.bilibili.com/373230661.xml
"向魏老致敬。",0.9839730382070953,4892.67600,c4bbc805,https://comment.bilibili.com/373230661.xml
"这才是背的，真的是很深情很投入了",0.924413654974509,1115.39100,da92f32d,https://comment.bilibili.com/373230661.xml
"致敬魏老！！！",0.9349542483211156,4885.81100,b714ff8e,https://comment.bilibili.com/373230661.xml
"你的是李彦宏",0.7555692263959995,3934.44000,b714ff8e,https://comment.bilibili.com/373230661.xml
"天啊",0.38121739130434773,4798.88500,94275864,https://comment.bilibili.com/373230661.xml
"天啊",0.38121739130434773,4441.38500,94275864,https://comment.bilibili.com/373230661.xml
"天啊",0.38121739130434773,4337.88500,94275864,https://comment.bilibili.com/373230661.xml
"好有爱",0.8360979522524873,3926.22500,60e7f022,https://comment.bilibili.com/373230661.xml
"看到汤唯了23333",0.81711691438645,821.91400,77c051d,https://comment.bilibili.com/373230661.xml
"李云迪还是强的呀",0.5992204839537763,403.52600,843996ed,https://comment.bilibili.com/373230661.xml
"甲鱼哭哭了呜呜呜呜呜",0.8222405242861094,1830.58900,fb07e110,https://comment.bilibili.com/373230661.xml
"好家伙，吃瓜吃到了自己家。",0.5823781084536961,459.78500,f9fcc84c,https://comment.bilibili.com/373230661.xml
"这也太忙了吧",0.25033124393606754,798.45800,50c72f31,https://comment.bilibili.com/373230661.xml
"瞬间泪目了",0.9773902856934732,766.50900,37ddae7c,https://comment.bilibili.com/373230661.xml
"果然是演员 直接入戏了",0.931055858172417,978.04400,eae346b1,https://comment.bilibili.com/373230661.xml
"遇到贵人了",0.5288697371949439,722.89800,eae346b1,https://comment.bilibili.com/373230661.xml
"很喜欢的一个演员",0.9816523608626785,456.57300,eae346b1,https://comment.bilibili.com/373230661.xml
"我正在看周国平老师写的书",0.9653756782046726,2294.95100,f17e6f2b,https://comment.bilibili.com/373230661.xml
"他好谦逊",0.5627183301037374,3626.28000,8cca0412,https://comment.bilibili.com/373230661.xml
"岁月神偷",0.8393181215413411,557.87900,3ff09854,https://comment.bilibili.com/373230661.xml
"侧脸更好看",0.4448445472008239,3347.05600,4f608807,https://comment.bilibili.com/373230661.xml
"好心酸啊",0.8511762551204554,4321.61800,329ba9c4,https://comment.bilibili.com/373230661.xml
"致敬",0.875,4871.23100,31777f74,https://comment.bilibili.com/373230661.xml
"致敬魏老",0.983973038207095,4867.44300,b06865b4,https://comment.bilibili.com/373230661.xml
"眼睛好漂亮",0.9469946218003601,3848.22300,8d84112b,https://comment.bilibili.com/373230661.xml
"背景音乐叫什么？？",0.5134076627403242,3807.71800,81a24925,https://comment.bilibili.com/373230661.xml
"心疼",0.5581395348837209,4821.23900,54c69912,https://comment.bilibili.com/373230661.xml
"应该有家族基因问题吧",0.5576042581707906,4473.68000,54c69912,https://comment.bilibili.com/373230661.xml
"心疼",0.5581395348837209,4440.85800,a6ed2972,https://comment.bilibili.com/373230661.xml
