Comment,feeling,TimeStamp,UID,Url
"文字是有温度的",0.5896572906631226,3887.40500,29d681d7,https://comment.bilibili.com/373225635.xml
"大佬落泪",0.9664537492371837,4584.94300,67bee9ed,https://comment.bilibili.com/373225635.xml
"董卿老师的眼睛里含着热泪",0.9501151555629885,4056.55100,67bee9ed,https://comment.bilibili.com/373225635.xml
"潘院士好像仓鼠啊好可爱",0.980071777435431,2387.34900,67bee9ed,https://comment.bilibili.com/373225635.xml
"乡音好亲切",0.8786551020725383,2270.40400,67bee9ed,https://comment.bilibili.com/373225635.xml
"不以成败论英雄，但对于英雄来说，没能成功总是遗憾的……",0.9999452792220039,805.31700,68a8007f,https://comment.bilibili.com/373225635.xml
"拿什么拯救你，我的爱人",0.9200245016976534,1739.36000,d91b0b4c,https://comment.bilibili.com/373225635.xml
"非常理解这种压力，真的会失眠",0.9654530830828743,1678.27900,5fa2a0bf,https://comment.bilibili.com/373225635.xml
"？？为什么衣服转个镜头就换了",0.015489363300423387,374.38500,24ef75e1,https://comment.bilibili.com/373225635.xml
"这是哪个版本的小王子？",0.8621322951073,2194.14900,5195dc60,https://comment.bilibili.com/373225635.xml
"优雅，太优雅了",0.995569755007841,963.02500,6bea60d6,https://comment.bilibili.com/373225635.xml
"为什么连衣服也能秒换",0.5294947133879233,425.03100,fd8ce1ac,https://comment.bilibili.com/373225635.xml
"“付出多少回报多少”",0.9212839913777968,1511.67600,ed475f5c,https://comment.bilibili.com/373225635.xml
"为小王子这本书而来",0.8568747474207776,24.93500,c6c5083d,https://comment.bilibili.com/373225635.xml
"烨子一直很认真对待戏啊",0.899593240163685,1497.83700,43df09a3,https://comment.bilibili.com/373225635.xml
"烨子一直保持着童心哈哈",0.9212839913777965,1866.83100,58c6823e,https://comment.bilibili.com/373225635.xml
"当你喜欢一个人时，世上的一切都有那个人的影子",0.9807511246605444,2063.56700,43a7cb4a,https://comment.bilibili.com/373225635.xml
"听到他和她爱人的故事简直就是神仙爱情吧呜呜呜羡慕",0.9995750431010346,1846.01900,5aed4140,https://comment.bilibili.com/373225635.xml
"看得热泪盈眶了就是说，哎",0.7194726548454152,3918.11000,77c051d,https://comment.bilibili.com/373225635.xml
"真的好像话剧，好有感觉",0.9017624227032566,2112.28100,342c3624,https://comment.bilibili.com/373225635.xml
"朗读的好有话剧的感觉",0.7650038681617147,2019.31200,342c3624,https://comment.bilibili.com/373225635.xml
"我每次看到董卿姐姐也是这样",0.8240334686676527,3041.76400,6ce6072,https://comment.bilibili.com/373225635.xml
"人生如逆旅，我亦是行人",0.9516828469472401,2969.61500,6ce6072,https://comment.bilibili.com/373225635.xml
"重度失眠者表示特别理解",0.879572771798575,1630.26500,6ce6072,https://comment.bilibili.com/373225635.xml
"爸爸的目光好骄傲",0.9998340521340681,981.66100,54b307ae,https://comment.bilibili.com/373225635.xml
"哈哈哈哈哈哈哈哈哈叶子和谁交流感情都得住一起",0.9995490859960992,1470.90200,349e8961,https://comment.bilibili.com/373225635.xml
"准备和任何来者握手",0.4737672181921908,4882.87300,d02bbef5,https://comment.bilibili.com/373225635.xml
"科学家的情怀真让人敬佩",0.9943918729808079,2628.57400,68fc05ac,https://comment.bilibili.com/373225635.xml
"看到了杨利伟",0.6647215008962116,452.03900,e26c85cc,https://comment.bilibili.com/373225635.xml
"仰望星空，梦想成真",0.8587380414712886,1253.58700,65d11955,https://comment.bilibili.com/373225635.xml
""没想到还有这么简单的学科，那就是物理"告辞！",0.4257032249454825,2467.01100,9d1acbb4,https://comment.bilibili.com/373225635.xml
"02—06年，经历了很多，事业和生活方面",0.9930637967596688,1786.82800,dd5519b,https://comment.bilibili.com/373225635.xml
"莫名心疼，后来失眠很严重",0.8364346688081639,1623.64800,dd5519b,https://comment.bilibili.com/373225635.xml
"他好像一直没长大，但又成熟了很多",0.9418955606083125,1365.26800,dd5519b,https://comment.bilibili.com/373225635.xml
"很喜欢董卿老师的眼睛，有神有光，有自信从容，是我向往追求的",0.9999618391843003,336.64000,b9396918,https://comment.bilibili.com/373225635.xml
"大师级凡尔赛",0.7297953905324696,4142.35900,6c9a17f7,https://comment.bilibili.com/373225635.xml
"他好像真的一直没长大",0.6155313126715276,1359.32100,42c731c2,https://comment.bilibili.com/373225635.xml
