Comment,feeling,TimeStamp,UID,Url
"祝爷爷身体健康",0.9976255649652247,4311.12200,61aa78d9,https://comment.bilibili.com/423016905.xml
"俺们卿涛也是哈哈哈哈哈",0.9553536435996132,1122.68500,49e456d2,https://comment.bilibili.com/423016905.xml
"致敬 看哭了",0.9507532445483723,4121.00000,ebce0199,https://comment.bilibili.com/423016905.xml
"我会爱爸爸妈妈和自己很久很久",0.9992849827212602,60.02000,39d3194f,https://comment.bilibili.com/423016905.xml
"爷爷身体健康长命百岁",0.985406692061091,4258.20000,1af52498,https://comment.bilibili.com/423016905.xml
"我永远都爱我的爸爸妈妈",0.9970652442608453,198.08700,1af52498,https://comment.bilibili.com/423016905.xml
"哈哈哈哈哈哈哈他们好可爱啊！！！！！！！！！",0.9829674961538601,947.77600,b3376523,https://comment.bilibili.com/423016905.xml
"他真的好热爱那片麦田",0.9217735716170434,813.49500,b3376523,https://comment.bilibili.com/423016905.xml
"讲起自己的事业，是兴致高昂的，是雀跃不已的，这是多么可爱的人啊",0.9988621869286219,624.64300,b3376523,https://comment.bilibili.com/423016905.xml
"为啥是小麦不是大白菜？哈哈哈哈",0.12365739743285353,1405.96500,89e9c455,https://comment.bilibili.com/423016905.xml
"爷爷要身体健康",0.9868425055784535,4282.22600,612ffac4,https://comment.bilibili.com/423016905.xml
"仔细看！兄弟两个长得超级像！！！",0.12172236086002886,4021.67100,8cfd8835,https://comment.bilibili.com/423016905.xml
"饭后甜点有了",0.64873148137472,1237.35100,8cfd8835,https://comment.bilibili.com/423016905.xml
"我也想起了我的历史老师哈哈哈",0.99778906303147,449.68000,8cfd8835,https://comment.bilibili.com/423016905.xml
"祝爷爷身体健康",0.9976255649652247,4266.72400,16551857,https://comment.bilibili.com/423016905.xml
"不为无益之事，何以遣有涯之生",0.7569121607790805,4408.02300,dfaeca18,https://comment.bilibili.com/423016905.xml
"岁月从不败美人",0.9185981971941236,3177.39600,b84978ad,https://comment.bilibili.com/423016905.xml
"女儿也可爱哈哈哈哈",0.9881614214119746,1236.91900,1f8568ed,https://comment.bilibili.com/423016905.xml
"哈哈哈哈哈太可爱啦",0.9222808496752462,887.11100,1f8568ed,https://comment.bilibili.com/423016905.xml
"夫妻好好啊",0.8900613956907903,914.51300,b714ce6f,https://comment.bilibili.com/423016905.xml
"要被这个教授感动哭啦",0.9757885084858547,815.44100,b714ce6f,https://comment.bilibili.com/423016905.xml
"铺陈排比，增强语势；丰富文章内容，增加文采！",0.07709296537441046,277.15800,b714ce6f,https://comment.bilibili.com/423016905.xml
"真的最强大脑了要",0.9173769616034088,3759.76100,9c3b6b05,https://comment.bilibili.com/423016905.xml
"太浪漫了吧！！！",0.3648531440884226,2960.42300,85e2f816,https://comment.bilibili.com/423016905.xml
"ru你哈哈哈哈哈哈",0.9724571802078488,1069.74200,7575a85b,https://comment.bilibili.com/423016905.xml
"每次bgm想起都是朗朗在弹嘛",0.8032924126152453,303.16300,7575a85b,https://comment.bilibili.com/423016905.xml
